YEAR,HIGH_EURUSD,LOW_EURUSD,OPEN_EURUSD,CLOSE_EURUSD,HIGH_AUDUSD,LOW_AUDUSD,OPEN_AUDUSD,CLOSE_AUDUSD,HIGH_USDCAD,LOW_USDCAD,OPEN_USDCAD,CLOSE_USDCAD,HIGH_USDCHF,LOW_USDCHF,OPEN_USDCHF,CLOSE_USDCHF,HIGH_USDJPY,LOW_USDJPY,OPEN_USDJPY,CLOSE_USDJPY
2000,1.0415,0.8227,1.0073,0.9424,0.6687,0.5069,0.6563,0.5586,1.5629,1.432,1.4463,1.4995,1.8313,1.5424,1.5934,1.6111,115.11,101.39,102.14,114.37
2001,0.9596,0.8346,0.9421,0.8896,0.5727,0.4775,0.5585,0.509,1.6055,1.4898,1.4995,1.5933,1.8229,1.567,1.611,1.6612,132.08,113.54,114.41,131.68
2002,1.0507,0.8562,0.8897,1.0489,0.5799,0.5052,0.5089,0.5616,1.619,1.5029,1.5934,1.5718,1.7234,1.3808,1.6613,1.3834,135.19,115.48,131.72,118.78
2003,1.2649,1.0335,1.0492,1.2588,0.7542,0.5614,0.5614,0.752,1.5778,1.2839,1.5712,1.297,1.4278,1.2308,1.3837,1.2389,121.92,106.72,118.79,107.21
2004,1.367,1.1759,1.2592,1.3562,0.8009999999999999,0.6774,0.7534,0.7806,1.4005,1.1716,1.2957,1.2011,1.3230000000000002,1.1285,1.2397,1.1402,114.94,101.81,107.23,102.47
2005,1.3581,1.1638,1.3562,1.1839,0.799,0.7234,0.7822,0.7328,1.2734,1.1425,1.2016,1.1625,1.3287,1.1369,1.1394,1.3157,121.42,101.67,102.64,117.69
2006,1.3364,1.1801,1.1849,1.3198,0.805,0.7015,0.7329,0.7883,1.18,1.093,1.1632,1.1658,1.3242,1.1879,1.3139,1.2188,119.87,108.97,117.89,119.06
2007,1.4966,1.2865,1.3189,1.4601,0.9398,0.7675,0.7889,0.8775,1.1874,0.9056,1.1645,0.9879,1.2571,1.089,1.2182,1.1329,124.13,107.21,118.98,111.71
2008,1.6038,1.233,1.4652,1.3936,0.9849,0.6009,0.8793,0.7062,1.3015,0.9709,0.9919,1.2184,1.2296,0.9642,1.129,1.0708,111.91,87.13,111.69,90.86
2009,1.51437,1.2456,1.3868,1.43306,0.94043,0.6248,0.6972,0.8976700000000001,1.3063,1.0205,1.2202,1.0456299999999998,1.19631,0.99167,1.0618,1.03454,101.43,84.819,91.17,93.129
2010,1.45785,1.18758,1.43259,1.33827,1.02554,0.8066300000000001,0.89938,1.023,1.08516,0.99247,1.04687,0.99785,1.17298,0.92993,1.03472,0.93432,94.978,80.295,92.918,81.126
2011,1.49385,1.28577,1.33443,1.29565,1.10797,0.93898,1.02218,1.02,1.0656,0.94062,0.99335,1.0208700000000002,0.97826,0.7067399999999999,0.93359,0.93822,85.514,75.56999999999998,81.10599999999998,76.88500000000002
2012,1.34856,1.20418,1.29443,1.31964,1.0855,0.95814,1.02189,1.03823,1.04449,0.96319,1.0201,0.99476,0.99713,0.8930600000000001,0.93767,0.9146,86.68000000000002,76.018,77.09,86.61
2013,1.3893,1.27454,1.32036,1.37876,1.05971,0.8821899999999999,1.03949,0.8925,1.07369,0.98151,0.99281,1.06274,0.98384,0.87995,0.91481,0.8885799999999999,105.412,86.535,86.65799999999999,105.252
2014,1.39932,1.20973,1.3755,1.20995,0.95036,0.80873,0.8881899999999999,0.81653,1.16732,1.05884,1.06396,1.16143,0.99388,0.8698799999999999,0.89155,0.99384,121.843,100.755,105.237,119.836
2015,1.2069,1.04619,1.20538,1.08609,0.82939,0.69075,0.81412,0.72896,1.4001,1.16432,1.16483,1.38273,1.0328,0.81889,0.99289,0.9998,125.853,115.85,120.401,120.207
2016,1.16159,1.03521,1.08696,1.05515,0.78345,0.68266,0.72816,0.72286,1.46895,1.24606,1.38132,1.34256,1.03433,0.94439,1.00058,1.01604,121.686,98.972,120.196,116.783
2017,1.20921,1.0340200000000002,1.05135,1.20136,0.81248,0.71641,0.71937,0.78081,1.37933,1.20616,1.34346,1.25389,1.03348,0.94204,1.01899,0.97436,118.607,107.315,116.846,112.633
2018,1.25554,1.12154,1.20285,1.14452,0.81357,0.70165,0.78396,0.7043,1.36645,1.22472,1.25272,1.3643,1.01282,0.91874,0.97344,0.98393,114.547,104.63,112.667,109.684
2019,1.15697,1.08788,1.14457,1.1223,0.72949,0.66705,0.70106,0.70155,1.36621,1.29511,1.36479,1.2974,1.02377,0.9646,0.98359,0.96711,112.398,104.449,109.418,108.621
2020,1.14963,1.07778,1.1213,1.08965,0.7008,0.55072,0.70058,0.55712,1.46673,1.29568,1.29867,1.46267,0.98481,0.91818,0.96877,0.96782,112.224,101.177,108.705,109.363
