Country,Currency,PERFORMANCE
Austria,EURUSD,8.23499999999999
Belgium,EURUSD,8.23499999999999
Finland,EURUSD,8.23499999999999
Germany,EURUSD,8.23499999999999
Netherland,EURUSD,8.23499999999999
Portugal,EURUSD,8.23499999999999
Cyprus,EURUSD,8.23499999999999
Lithuania,EURUSD,8.23499999999999
Luxembourg,EURUSD,8.23499999999999
Malta,EURUSD,8.23499999999999
Slovakia,EURUSD,8.23499999999999
Slovenia,EURUSD,8.23499999999999
Estonia,EURUSD,8.23499999999999
Ireland,EURUSD,8.23499999999999
Latvia,EURUSD,8.23499999999999
Spain,EURUSD,8.23499999999999
France,EURUSD,8.23499999999999
Italy,EURUSD,8.23499999999999
Australia,AUDUSD,-9.91800000000001
Canada,USDCAD,1.637
Switzerland,USDCHF,-62.558
Japan,USDJPY,7.223
